,Unnamed: 0,URL,URL_FIRST_PART,URL_LAST_PART,PREDICATE,OBJECT,WORDS,ENTITIES,REPLACED_WORD
0,0,http://fraunhofer.de/data/hydrogen_carrier,http://fraunhofer.de/data,hydrogen_carrier,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Car,hydrogen carrier,[],Car
1,1,http://fraunhofer.de/data/hydrogen_tank,http://fraunhofer.de/data,hydrogen_tank,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inTesting,hydrogen tank,[],Tank
2,2,http://fraunhofer.de/data/high_pressure_hydrogen_tanks,http://fraunhofer.de/data,high_pressure_hydrogen_tanks,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inProduction,high pressure hydrogen tanks,[],Tank
3,3,http://fraunhofer.de/data/hydrogen_fuel_cell,http://fraunhofer.de/data,hydrogen_fuel_cell,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Researcher,hydrogen fuel cell,[],Fuel_Cell
4,4,http://fraunhofer.de/data/Hydrogen_Infrastructure,http://fraunhofer.de/data,Hydrogen_Infrastructure,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Researcher,Hydrogen Infrastructure,"[('Hydrogen Infrastructure', 'ORG')]",Infrastructure
5,5,http://fraunhofer.de/data/Hydrogen_plane,http://fraunhofer.de/data,Hydrogen_plane,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Aircraft,Hydrogen plane,"[('Hydrogen', 'GPE')]",Plane
6,6,http://fraunhofer.de/data/hydrogen_fuel_cells,http://fraunhofer.de/data,hydrogen_fuel_cells,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Customer,hydrogen fuel cells,[],Fuel_Cell
7,7,http://fraunhofer.de/data/Geely_Hydrogen_Fuel_Cell,http://fraunhofer.de/data,Geely_Hydrogen_Fuel_Cell,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Reconversion,Geely Hydrogen Fuel Cell,[],Fuel_Cell
8,8,http://fraunhofer.de/data/Hydrogen_Infrastructure,http://fraunhofer.de/data,Hydrogen_Infrastructure,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Manufacturer,Hydrogen Infrastructure,"[('Hydrogen Infrastructure', 'ORG')]",Infrastructure
9,9,https://www.epicos.com/article/660648/toyoda-gosei-starts-operation-high-pressure-hydrogen-tanks-fcvs-inabe-plant-japan,https://www.epicos.com/article/660648,toyoda_gosei_starts_operation_high_pressure_hydrogen_tanks_fcvs_inabe_plant_japan,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://purl.org/dc/terms/BibliographicResource,toyoda gosei starts operation high pressure hydrogen tanks fcvs inabe plant japan,"[('japan', 'GPE')]",Tank
10,10,http://fraunhofer.de/data/hydrogen_and_fuel_cell_technologies,http://fraunhofer.de/data,hydrogen_and_fuel_cell_technologies,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inResearch,hydrogen and fuel cell technologies,[],Fuel_Cell
11,11,http://fraunhofer.de/data/hydrogen_technology,http://fraunhofer.de/data,hydrogen_technology,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inProduction,hydrogen technology,[],Technology
