;Entity;type
0;Advance_Article;"RegionalTruck,Supplier,inProduction,inTesting"
1;DOI;"Supplier,Customer,Manufacturer,Researcher"
2;Switch_to_Hydrogen_Buses;Bus
3;CrystEngComm;"Supplier,Manufacturer,Researcher"
4;ALICE;"Manufacturer,Supplier"
5;High_Pressure_Hydrogen_Tanks;"Researcher,Supplier,Manufacturer"
6;Fukushima_Prefecture;Researcher
7;Lithium_Ion_Battery_and_Fuel_Cell;"inResearch,LithiumBattery,Product,Battery,inProduction,Reconversion,inTesting"
8;CAF;Researcher
9;Featured_Company_Featured_Company_DNI_Metals_Inc;"Researcher,RegisteredOrganization"
10;ACWA_Power;"Researcher,Supplier,Manufacturer,Customer"
11;Toyoda_Gosei;"Supplier,Manufacturer,Customer,Researcher"
12;Methanol_fuel_cell_system;"Reconversion,MethanolFuelCell,EthanolFuelCell,Product"
13;China;"Supplier,Customer,Manufacturer,inProduction,Researcher"
14;Powertrain_Daimler_Trucks_division;"Truck,Train"
15;Ref__XX;"inTesting,inProduction,inResearch"
16;Vanguard;"Manufacturer,Researcher,Supplier,Customer"
17;Industry_News;"Researcher,Supplier,Customer"
18;Climate_Pledge_Fund;"inProduction,inResearch"
19;ECH2A;"Manufacturer,Researcher,Supplier"
20;Franco_German;Customer
21;FuelCellsWorks;"Supplier,inResearch,Customer,Manufacturer,inProduction,Researcher"
22;UK;"Researcher,Supplier,Customer,Manufacturer"
23;Hydrogen__AMPERSAND__Fuel_Cells;"Researcher,Supplier"
24;Org;Supplier
25;Position_yourself_for_advantage;RegionalTruck
26;Fuel_Cells;"inResearch,Supplier,inProduction,Reconversion,inTesting,Product,Researcher"
27;News_Engineered_Products;"Researcher,Supplier"
28;Toyota;"Manufacturer,inProduction,Customer,Researcher,inResearch,Supplier"
29;Beijing;"Manufacturer,Customer,Researcher,Supplier"
30;Hydrogen_Fuel_Cell;"inProduction,Researcher,Reconversion,inTesting,Product,inResearch"
31;Twitter;"Researcher,inTesting,inProduction"
32;Avions_Mauboussin;Supplier
33;The_European_Union;"Researcher,Supplier,Customer,Manufacturer"
34;Hydrogen_Fuel_Cell_Buses;"Reconversion,Product,Bus,inProduction"
35;Deep_Sea_Shipping;Marine
36;Hydrogen_Cars;Car
37;POSTECH_University;Research
38;Fuel_Cell_Polarized;"inResearch,inProduction,Reconversion,inTesting,Product"
39;Lhyfe;"Supplier,Customer,Manufacturer,Researcher"
40;Spanish_utility_Iberdrola;"Customer,Supplier"
41;San_Francisco;"Supplier,Customer,Manufacturer,Researcher"
42;ZeroAvia;"Customer,Manufacturer,inProduction,Researcher,Supplier,inResearch"
43;Bloom;"Manufacturer,Researcher,Supplier,Customer"
44;Activision;"Researcher,Supplier,Customer,Manufacturer"
45;Project;Project
46;Compression;inTesting
47;Spyro_Reignited;"inResearch,inProduction"
48;Town_council;Supplier
49;Include_Hydrogen;inProduction
50;Thiebault_Paquet;Supplier
51;Fuel_Cell_Vehicles;Road
52;Royal_Society_of_Chemistry;Researcher
53;H20;inProduction
54;NJC;"Researcher,Supplier"
55;European_Union;"Supplier,Manufacturer"
56;Hydrogen_and_Fuel_Cell_Technologies;"inResearch,inTesting,inProduction,Reconversion,Product"
57;Post_Ammonia_Fuel_Cells;"Reconversion,Product,AmmoniaFuelCell"
58;Geely_Hydrogen_Fuel_Cell;"Reconversion,Product"
59;Maanshan_City;"Customer,Supplier"
60;Alliance;"Customer,Researcher"
61;Antiseptic_Mouth_Wash;"Researcher,Supplier,Customer,Manufacturer"
62;Volvo_AB;"Supplier,Manufacturer,Customer,Researcher"
63;Plug_Power_Fuel_Cells;"Reconversion,Product"
64;GLOBE_NEWSWIRE;"inProduction,Supplier"
65;Oakley_Men_s_Sunglasses_Valve_Polarized_111_Fuel_Cell_Polarized_90_amp_More_Free_Shipping_8788987;BibliographicResource
66;Daimler_Truck_Fuel_Cell_GmbH__AMPERSAND__Co_KG;"Truck,Manufacturer,Reconversion,Researcher,Supplier,Product"
67;Embracing_Hydrogen_and_Fuel_Cell_Technologies_Energy_Department;"inProduction,Reconversion,Product"
68;HyET_Hydrogen;"Supplier,Manufacturer,Customer,Researcher"
69;Beijing_Daily;"Researcher,Supplier"
70;Toyota_Motor_Corporation;"Supplier,Manufacturer,Customer,Manufacturing,Researcher"
