PREFIX;SITE
bzd:;<https://fuelcellsworks.com/news/kist-develops-nanocatalyst-that-has-2-5-times-the-efficiency-of-extracting-hydrogen-fuel-from-ammonia/
yzr:;<https://autotechinsight.ihsmarkit.com/news/5260191/
czz:;<http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#
ttl:;<http://fraunhofer.de/MarketActivities/
wjs:;<https://www.forbes.com/sites/mitchwallace/2020/12/18/i-got-one-of-only-77-limited-cyberpunk-2077-doritos-fuel-cells-and-its-insanely-cool/
vbj:;<https://www.thestandard.co.zw/2020/12/20/why-green-hydrogen-is-finally-getting-its-day-in-the-sun/
jgy:;<http://www.w3.org/ns/regorg#
qtd:;<http://southafrica.cleantechopen.org/2016/05/20/sharks-electric-field-sixth-sense-could-inspire-better-fuel-cells/
dva:;<http://www.onenewspage.com/n/Automotive/759n5mi4u/
izl:;<https://revolution-green.com/socalgas-test-technology-enable-rapid-expansion-hydrogen-fueling-stations/
tzp:;<https://pubs.rsc.org/en/content/articlelanding/2020/ce/
efc:;<https://www.dealighted.com/main/page/comment/
byd:;<http://www.jeccomposites.com/knowledge/international-composites-news/
rws:;<https://www.myjournals.org/
acx:;<https://archive.org/details/
yfw:;<https://www.mamamia.com.au/h20-just-add-water-cast-now/
uzc:;<http://energy.gov/eere/articles/
pta:;<http://article.wn.com/view/2016/05/25/Hydrogen_Fuel_Cell_Bus_Hits_OC_Streets_OCTA_Orange_County_Tr/
nrw:;<https://ship.energy/2020/12/04/klaipedos-nafta-joins-lithuanian-hydrogen-platform/
sji:;<https://fuelcellsworks.com/subscribers/wuxi-city-is-fully-committed-to-hydrogen-and-fuel-cells/
dlc:;<http://fraunhofer.de/data/James_Frimen_/
zpq:;<http://schema.org/
bbq:;<http://purl.org/dc/terms/
vni:;<http://fraunhofer.de/data/research/
vdj:;<https://fuelcellsworks.com/subscribers/swk-opts-for-green-hydrogen-production-in-cooperation-with-the-swk-e²-institute-of-the-niederrhein-university-of-applied-sciences/
xgp:;<http://www.hydrogenfuelnews.com/renewable-hydrogen-fuel-production-begin-fukushima-japan/8528841/
qai:;<https://timworld.info/two-distinct-different-liquid-states-of-water-exist-both-made-of-h2o-molecules/
tfw:;<http://fraunhofer.de/data/
ots:;<https://fuelcellsworks.com/news/friday-fallback-story-storengy-and-gazelenergie-join-forces-coal-fired-power-stations-to-be-converted-to-hydrogen/
mue:;<https://wtaq.com/2020/12/15/hydrogen-plane-startup-zeroavia-gets-backing-from-amazon-shell/
odm:;<http://ciltuk.org.uk/News/LatestNews/TabId/235/ArtMID/6887/ArticleID/8897/
esi:;<http://hydrogentoday.info/news/
zzf:;<http://phoenixsun.co.za/34773/tuesday-life-hack-5-uses-for-hydrogen-peroxide/
nzi:;<https://www.hydrogenfuelnews.com/hydrogen-fueling-infrastructure/8541312/
mfz:;<http://www.virtual-strategy.com/2016/05/25/
vcb:;<https://www.onenewspage.com/n/Automotive/1zlv34pk9q/
ryn:;<https://fuelcellsworks.com/news/dr-matthias-jurytko-takes-over-the-management-of-the-fuel-cell-joint-venture-cellcentric/
jyx:;<https://fuelcellsworks.com/subscribers/first-injection-of-green-hydrogen-into-the-existing-northern-german-gas-pipeline-network/
qxf:;<http://www.4-traders.com/news/China-Petrochemical-Sinopec-rsquo-s-diesel-hydrogenation-technology-wins-bidding-of-Brunei-project--22414754/
vur:;<https://www.carandbike.com/news/
nrg:;<https://fuelcellsworks.com/news/mcphy-is-proud-to-be-a-member-of-the-european-clean-hydrogen-alliance/
xrf:;<https://www.marketscreener.com/quote/stock/DAIMLER-AG-436541/news/Daimler-Volvo-plan-hydrogen-fuel-cell-production-in-Europe-in-2025-33105649/
dqy:;<http://www.avweb.com/podcast/
xcr:;<https://www.connecticum.de/jobboerse/
kds:;<https://www.hyundainews.com/en-us/releases/
eno:;<https://www.okotokstoday.ca/national-business/
ind:;<https://smallnews.in/renewables/2020/12/01/mol-joins-wind-hunter-project-for-combination-of-sails-and-fuel-cells-on-ships/
keu:;<https://vpoglobal.com/2021/04/19/methanol-fuel-cell-system-is-prepared-for-test-installation-phase/
sfi:;<http://www.w3.org/1999/02/22-rdf-syntax-ns#
nxq:;<https://pubs.rsc.org/en/content/articlelanding/2021/qo/
zpz:;<https://www.epicos.com/article/660648/
gxt:;<https://media.toyota.co.uk/2021/04/toyota-to-supply-fuel-cell-modules-for-zero-emission-train-project/
tci:;<http://pubs.rsc.org/en/Content/ArticleLanding/2016/TA/
bzh:;<http://www.myjournals.org/
